,Numero_linea_1,Catalogo_1,Clasificacion,Identificacion,Año,Dia,Fraccion_dia,Signo_derivada_1,Derivada_1,Signo_derivada_2,Derivada_2,Exponente,Signo_BSTAR,BSTAR,Exponente_BSTAR,Efemerides,Numero_elemento,Checksum_1,Numero_linea_2,Catalogo_2,Inclinacion,Ascencion,Excentricidad,Perigeo,Anomalia_media,Revoluciones_dia,Revoluciones_epoch,Checksum_2,Periodo,Semieje_mayor,Semieje_menor
1498,1,44341,U,19036C,23,333,.61056660, ,.00001982, ,00000,+0, ,41193,-3,0, 999,9,2,44341,23.9968,100.5247,0.0011442,236.2722,123.6679,14.53978719,23563.0,7,5942.315308399,7090.8223466577,7090.7987085097
1499,1,44343,U,19036E,23,334,.71466788, ,.00012840, ,00000,+0, ,69949,-3,0, 999,3,2,44343,24.0005,83.0134,0.000505,59.7441,300.3563,15.12359295,24281.0,9,5712.928157062,6907.1462464555,6907.1232206148
1500,1,44344,U,19036F,23,331,.72262198,-,.00000051, ,00000,+0, ,00000,+0,0, 999,2,2,44344,42.3255,331.9653,0.1973775,334.7759,16.7618,4.54374898,7341.0,5,19015.1349425998,15397.8145342808,15397.7632037296
1501,1,44349,U,19036L,23,333,.13103594, ,.00013074, ,00000,+0, ,71339,-3,0, 999,3,2,44349,24.0004,269.9625,0.0004035,283.2943,76.7111,15.12323363,24425.0,7,5713.0638932013,6907.2556527735,6907.2326265681
1502,1,44350,U,19036M,23,334,.33998916, ,.00013768, ,00000,+0, ,75209,-3,0, 999,8,2,44350,24.0013,323.6892,1.05e-05,32.1727,327.8784,15.12343157,24392.0,0,5712.9891189107,6907.1953831555,6907.172357151
1503,1,44351,U,19036N,23,334,.49400471, ,.00013501, ,00000,+0, ,73617,-3,0, 999,6,2,44351,24.0009,16.948,0.0004383,59.0334,301.0601,15.12376055,24344.0,7,5712.8648469643,6907.0952168259,6907.0721911553
1504,1,44353,U,19036Q,23,334,.03271254, ,.00013177, ,00000,+0, ,71813,-3,0, 999,8,2,44353,23.9976,200.9635,0.0006808,60.9467,299.1719,15.12358953,24158.0,6,5712.9294489653,6907.1472877621,6907.124261918
1505,1,44358,U,19036V,23,334,.73612932, ,.00012881, ,00000,+0, ,70152,-3,0, 999,8,2,44358,23.9984,135.8672,0.0005651,71.5958,288.516,15.12368354,24226.0,9,5712.8939369489,6907.1186641538,6907.0956384051
1506,1,44387,U,19038A,23,334,.79100829, ,.00000180, ,00000,+0, ,98338,-4,0, 999,1,2,44387,98.8004,298.544,0.0001619,136.9343,223.1962,14.23830406,22901.0,5,6068.1384268739,7190.5668686233,7190.5428979643
1507,1,44389,U,19038C,23,334,.80546799, ,.00016360, ,00000,+0, ,10747,-2,0, 999,8,2,44389,97.907,317.1495,0.0014884,256.5275,103.4293,15.07611951,24106.0,0,5730.9176902379,6921.6386645989,6921.6155904459
